CustomerID,purcahse_frequency,Total_spending,last_purchased,recency,next_purchase,Gap,churn
12346,1,77183.6,2011-01-18 10:01:00,234,,,1
12347,5,2790.86,2011-08-02 08:48:00,38,2011-10-31 12:25:00,90.0,0
12348,3,1487.24,2011-04-05 10:47:00,157,2011-09-25 13:13:00,173.0,1
12350,1,334.4,2011-02-02 16:01:00,219,,,1
12352,5,1561.81,2011-03-22 16:08:00,171,2011-09-20 14:34:00,181.0,1
12353,1,89.0,2011-05-19 17:47:00,113,,,1
12354,1,1079.4,2011-04-21 13:11:00,141,,,1
12355,1,459.4,2011-05-09 13:49:00,123,,,1
12356,2,2753.08,2011-04-08 12:33:00,154,2011-11-17 08:40:00,222.0,1
12358,1,484.86,2011-07-12 10:04:00,59,2011-12-08 10:26:00,149.0,1
12359,3,3495.73,2011-06-03 12:26:00,98,2011-10-13 12:47:00,132.0,1
12360,2,1618.28,2011-08-19 10:10:00,21,2011-10-18 15:22:00,60.0,0
12361,1,189.9,2011-02-25 13:51:00,196,,,1
12362,4,1747.35,2011-08-11 15:02:00,29,2011-09-28 12:04:00,47.0,0
12363,2,552.0,2011-08-22 10:18:00,18,,,1
12364,1,623.92,2011-08-19 15:24:00,21,2011-09-22 16:07:00,34.0,0
12365,2,641.38,2011-02-21 14:04:00,200,,,1
12370,3,2802.66,2011-03-10 12:48:00,183,2011-10-19 14:51:00,223.0,1
12372,2,914.9200000000001,2011-05-11 10:43:00,121,2011-09-29 12:12:00,141.0,1
12373,1,364.6,2011-02-01 13:10:00,220,,,1
12375,1,230.3,2011-09-02 14:23:00,7,2011-11-29 10:36:00,87.0,0
12377,2,1628.12,2011-01-28 15:45:00,224,,,1
12378,1,4008.62,2011-08-02 10:34:00,38,,,1
12379,1,459.84,2011-06-22 16:32:00,79,2011-09-19 10:09:00,88.0,0
12380,1,607.5500000000001,2011-06-07 09:49:00,94,2011-09-22 17:31:00,107.0,1
12381,1,1268.74,2011-08-12 09:57:00,28,2011-10-11 15:45:00,60.0,0
12383,5,1850.56,2011-06-08 08:02:00,93,,,1
12384,1,292.69,2011-08-10 11:23:00,30,2011-11-11 08:39:00,92.0,1
12386,2,401.9,2011-01-06 12:37:00,246,,,1
12388,4,1668.3400000000001,2011-07-14 13:28:00,57,2011-09-25 11:30:00,72.0,0
12393,3,1061.1000000000001,2011-04-08 09:45:00,154,2011-09-28 15:41:00,173.0,1
12394,1,381.08,2011-05-06 14:01:00,126,2011-10-07 08:08:00,153.0,1
12395,8,1899.57,2011-08-19 15:18:00,21,2011-10-04 13:45:00,45.0,0
12397,1,1214.81,2011-07-27 14:21:00,44,2011-11-04 09:52:00,99.0,1
12399,4,1108.65,2011-08-12 13:15:00,28,,,1
12401,1,84.3,2011-02-09 13:50:00,212,,,1
12402,1,225.6,2011-01-20 13:49:00,232,,,1
12405,1,1710.39,2011-07-14 08:52:00,57,,,1
12406,1,1621.25,2011-06-09 10:23:00,92,2011-11-17 19:22:00,161.0,1
12407,4,1407.3600000000001,2011-07-28 16:28:00,43,2011-10-21 10:11:00,84.0,0
12408,4,2134.0499999999997,2011-09-02 10:27:00,7,2011-11-07 12:27:00,66.0,0
12409,1,6207.08,2011-06-10 12:19:00,91,2011-09-21 14:15:00,103.0,1
12410,2,693.3299999999999,2011-02-04 10:39:00,217,,,1
12412,2,890.74,2011-07-25 11:17:00,46,2011-09-26 10:16:00,62.0,0
12413,2,563.9,2011-04-17 15:33:00,145,2011-10-04 09:00:00,169.0,1
12414,3,562.41,2011-05-06 14:51:00,126,,,1
12415,14,102087.88,2011-09-01 13:51:00,8,2011-10-05 12:35:00,33.0,0
12417,7,2816.52,2011-08-25 10:26:00,15,2011-10-31 16:02:00,67.0,0
12418,1,668.58,2011-08-19 11:08:00,21,,,1
12421,3,628.56,2011-08-17 10:56:00,23,2011-11-24 09:07:00,98.0,1
12422,3,803.5600000000001,2011-09-05 09:48:00,4,,,1
12423,7,1650.67,2011-08-31 08:55:00,9,2011-12-09 10:10:00,100.0,1
12424,1,1760.96,2011-06-30 12:06:00,71,,,1
12426,1,582.73,2011-05-29 12:26:00,103,,,1
12427,1,303.5,2010-12-03 10:44:00,280,2011-10-10 15:15:00,311.0,1
12428,8,7548.12,2011-08-11 12:58:00,29,2011-11-14 08:22:00,94.0,1
12429,3,2844.88,2011-06-20 12:14:00,81,2011-11-30 17:22:00,163.0,1
12431,11,4807.07,2011-08-12 14:19:00,28,2011-10-06 09:31:00,54.0,0
12432,3,4016.66,2011-06-22 13:12:00,79,2011-10-28 11:40:00,127.0,1
12433,3,6395.23,2011-09-09 13:44:00,0,2011-10-27 13:43:00,47.0,0
12434,1,286.25,2011-03-24 13:05:00,169,2011-09-16 12:38:00,175.0,1
12435,1,3978.9900000000002,2011-03-17 07:40:00,176,2011-09-21 09:06:00,188.0,1
12436,1,509.01,2011-09-01 12:09:00,8,,,1
12437,11,2811.41,2011-09-02 13:15:00,7,2011-09-22 16:58:00,20.0,0
12438,1,890.0699999999999,2011-07-22 13:29:00,49,2011-11-25 13:28:00,125.0,1
12441,1,173.55,2010-12-08 10:45:00,275,,,1
12444,2,2627.27,2011-08-10 08:41:00,30,2011-09-15 09:43:00,36.0,0
12447,1,476.49,2011-04-10 13:25:00,152,,,1
12449,3,2724.58,2011-09-09 09:13:00,0,2011-11-17 13:46:00,69.0,0
12450,2,197.88,2011-07-06 14:41:00,65,,,1
12451,2,5307.82,2011-05-05 17:34:00,127,2011-10-05 12:52:00,152.0,1
12453,1,707.09,2011-07-28 14:08:00,43,,,1
12455,5,2176.36,2011-08-04 11:07:00,36,2011-09-27 15:31:00,54.0,0
12456,2,2265.4,2011-07-31 15:25:00,40,2011-10-26 14:41:00,86.0,0
12457,3,1067.25,2011-04-20 10:10:00,142,2011-09-14 15:54:00,147.0,1
12458,1,441.92,2011-02-28 10:55:00,193,2011-09-29 15:25:00,213.0,1
12461,2,826.88,2011-09-06 16:57:00,3,,,1
12462,1,762.11,2011-02-09 14:44:00,212,2011-11-21 09:11:00,284.0,1
12463,3,985.79,2011-06-17 14:28:00,84,2011-10-17 13:44:00,121.0,1
12464,6,780.55,2011-08-25 13:33:00,15,2011-11-17 15:55:00,84.0,0
